SSin,SNHin,Qin,SSr1,SOr1,SNOr1,SNHr1,SSr2,SOr2,SNOr2,SNHr2,SSr3,SOr3,SNOr3,SNHr3,SALKr3,Qr3,SSr4,SOr4,SNOr4,SNHr4,SSr5,SOr5,SNOr5,SNHr5,SALKr5,Qr5,SSu,SOu,SNOu,SNHu,SSe,SOe,SNOe,SNHe,BODe
63.63455,30.24762,21477,3.24393684506994,0.00769641506690236,3.51326345126174,11.8311788302745,1.67067015154909,6.02712620950451e-05,1.00000000011306,12.548162618271,1.21951265629871,1.63502587404795,6.22889932913964,7.31965727637271,4.82362556766206,53377.6074531286,0.973258201006238,2.47452269568081,11.0693154868774,2.78253703823941,0.808007806602548,1.99999999997762,13.5243173006646,0.671926978042428,3.82768640552967,53377.6074531286,0.80800780665468,1.99999999998501,13.5243172967861,0.671926982941448,0.808007806647513,1.99999999998378,13.5243172973004,0.671926982285231,2.63174480822412
61.67313,30.21283,21474,3.39070605580436,0.00827785752737969,3.79036146276916,11.6038930934658,1.70980807813599,6.88999159129343e-05,1.1895717132491,12.4379010791931,1.2411930128006,1.59629209274403,5.99696186606203,7.56686088865793,4.85854692565313,56883.0932918332,0.988902192158322,2.39860594543096,10.7882823114193,3.04729007461014,0.818781038442299,2.24005851224976,13.3889544347957,0.782420584244526,3.84525565219765,56883.0932918332,0.80800780800692,1.99999897615484,13.5243172575603,0.67192701270728,0.808007870237708,1.99997211262687,13.5243157428661,0.671928185073424,2.68880437327095
61.71973,31.04771,19620,3.37486993853225,0.00710214899325647,3.49562168227698,11.9360019840142,1.72807169139825,5.43133960403291e-05,1.11420714745307,12.4567592660279,1.24704273787166,1.61974855056176,6.08633327696816,7.48660852158972,4.84894183042725,52224.7020133007,0.991249197534066,2.39529797493434,10.8094838230257,3.03213972615385,0.820401813640848,1.92782155196329,13.3982205083506,0.771803918453954,3.84395624854121,52224.7020133007,0.80800811895008,1.99996934080064,13.5243118260582,0.671931340919929,0.808012695958252,1.99967995178667,13.5242360385452,0.67199199375677,2.72688655934747
62.16018,31.67387,19334,3.3196697146304,0.00818670197643127,3.50469432431424,11.9637407239085,1.76182181635407,6.71048329034028e-05,1.04280043136846,12.5323562808825,1.26322891684447,1.6211754513595,6.09504591883805,7.47320600646541,4.85057736393107,55615.1990614789,0.99668825771779,2.40188849919152,10.8277402772239,3.01823228161012,0.822706440696482,2.02177040406492,13.3992803503695,0.769969885815175,3.8442099288374,55615.1990614789,0.808012237160579,1.9998529626679,13.5242505597618,0.671980639997216,0.808045682917292,1.99914429011978,13.5237678343264,0.672369469947991,2.73103597620979
64.57526,33.15925,18978,3.30622896275458,0.00858454352165892,3.58197573247401,12.0167604113231,1.77643776337867,7.09010477330709e-05,1.02734081309433,12.5942154527534,1.28032633716559,1.61764653889361,6.06154356503772,7.50446840016764,4.85712492493701,58028.3705952371,1.0056294400147,2.40251449045033,10.8190957831247,3.02579619990017,0.826390376946733,1.99620246867902,13.4051141657446,0.767242195596567,3.84452009096818,58028.3705952371,0.808031939606462,1.99962450196922,13.5239853364307,0.672194411426587,0.808147449810734,1.99847927997564,13.5224624845894,0.673421359666456,2.72137643479006
67.84871,35.11773,18321,3.29374054712194,0.00771447085049859,3.61837212529435,12.2268765831676,1.76282233569532,6.06453427972709e-05,1.04722664981741,12.65850784664,1.28873754808998,1.61894311023763,6.05651203873012,7.52889213185081,4.8578889019398,53839.3244580739,1.01441673838242,2.39945185455833,10.808901406958,3.03646067529993,0.83125924149287,1.93780625592084,13.3971671707292,0.772537711435852,3.84666088583846,53839.3244580739,0.808088688856251,1.99928113901806,13.523280199273,0.672761865830888,0.808357587485021,1.99776214730157,13.5199965339122,0.675402367495775,2.7018586768962
72.14054,37.86587,17855,3.31566589680518,0.00746097915388123,3.63057503385669,12.6057677157088,1.74180806861991,5.53592016777761e-05,1.0604540487248,12.8176218866805,1.28764914915994,1.61924242567358,6.07740634204071,7.56630169676499,4.85264275448179,53134.1008107554,1.01952785765077,2.39910051292345,10.8178692999481,3.04098507662859,0.835437185422281,1.98368408825715,13.4030431756817,0.768363136355091,3.84688136595533,53134.1008107554,0.808210937092746,1.99884968852021,13.5218754044902,0.67388962270758,0.808702945815944,1.99712064207341,13.5163062229245,0.678358297836085,2.67391871779719
72.47069,37.86587,17237,3.23331768588411,0.0080285336064451,3.6269935443881,12.9324040903028,1.72780449313243,6.3151211036175e-05,1.03948357903718,13.1056865240904,1.2799957075323,1.61257271451261,6.11988639002929,7.63862074124839,4.84205521397348,52124.3282862754,1.01919554493724,2.40544442352317,10.8634347338483,3.03590714343167,0.837185313096552,2.13128447735532,13.4306281310383,0.755042736493018,3.84385643313478,52124.3282862754,0.808430916016453,1.99837296579759,13.5195519747642,0.675750845263913,0.809203133459194,1.99657426526214,13.5114849198266,0.682212434750974,2.64142615990162
69.7643,36.8501,16453,3.04928707091092,0.00842480420588282,3.64170287385355,12.9975852263653,1.69846391634505,6.52215453811089e-05,0.99496358865223,13.3881921222264,1.26674730374265,1.60826140585033,6.19170798621774,7.72445908617489,4.8257861393081,52742.7927591742,1.01288455882861,2.41788278378166,10.967922540599,3.00772780551767,0.834884747841336,2.14195336245683,13.4939646966002,0.727898611303603,3.83544972804954,52742.7927591742,0.808782170423518,1.99787696147678,13.5161716510844,0.678454527333417,0.809861118342978,1.9960993463828,13.5058114157248,0.686743589109791,2.60321697543434
67.49915,36.47441,16548,2.91798647747916,0.00836124758658958,3.85013393906726,12.7370958797603,1.66202063346724,6.63348235453489e-05,1.05892400094517,13.4679262074963,1.25424580753753,1.5926081284655,6.21811038819529,7.86837593391004,4.81535881658429,52708.7172327485,1.00749145966178,2.40691437370797,11.0230383054407,3.05879690410931,0.833213050847262,2.00381319937558,13.5327344108172,0.74049584758426,3.82902048933042,52708.7172327485,0.809296395027568,1.99739474094103,13.51170466931,0.682026123954634,0.81069186211516,1.99577023253752,13.4994634593322,0.691822282762666,2.56770088707452
